No.     Time           Source                Destination           Protocol Length Info
     13 19.889827000   10.0.1.11             10.0.1.12             TCP      74     48684 > 23 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1146203 TSecr=0 WS=128
     14 19.890437000   10.0.1.12             10.0.1.11             TCP      74     23 > 48684 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=6718838 TSecr=1146203 WS=128
     15 19.890473000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=1146203 TSecr=6718838
     16 19.890575000   10.0.1.11             10.0.1.12             TELNET   93     Telnet Data ...
     17 19.890941000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=1 Ack=28 Win=29056 Len=0 TSval=6718839 TSecr=1146203
     18 29.906473000   10.0.1.12             10.0.1.11             TELNET   87     Telnet Data ...
     19 29.906509000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=28 Ack=22 Win=29312 Len=0 TSval=1148707 TSecr=6721342
     20 29.906570000   10.0.1.11             10.0.1.12             TELNET   75     Telnet Data ...
     21 29.906940000   10.0.1.12             10.0.1.11             TELNET   88     Telnet Data ...
     22 29.907190000   10.0.1.12             10.0.1.11             TCP      66     23 > 48684 [ACK] Seq=44 Ack=37 Win=29056 Len=0 TSval=6721343 TSecr=1148707
     23 29.907212000   10.0.1.11             10.0.1.12             TELNET   132    Telnet Data ...
     24 29.907746000   10.0.1.12             10.0.1.11             TELNET   90     Telnet Data ...
     25 29.907847000   10.0.1.11             10.0.1.12             TELNET   137    Telnet Data ...
     26 29.909419000   10.0.1.12             10.0.1.11             TELNET   69     Telnet Data ...
     27 29.909485000   10.0.1.11             10.0.1.12             TELNET   69     Telnet Data ...
     28 29.910067000   10.0.1.12             10.0.1.11             TELNET   81     Telnet Data ...
     29 29.910145000   10.0.1.11             10.0.1.12             TELNET   75     Telnet Data ...
     30 29.910631000   10.0.1.12             10.0.1.11             TELNET   155    Telnet Data ...
     31 29.947982000   10.0.1.11             10.0.1.12             TCP      66     48684 > 23 [ACK] Seq=186 Ack=175 Win=29312 Len=0 TSval=1148718 TSecr=6721343
